,Term,Category
53881,"Tetracaine Minims bausch & lomb Øyedr 0,5 % w/v",SUBSTANCE
53882,Tetracaine hydrochloride,SUBSTANCE
53883,Tetracosactide,SUBSTANCE
53884,Tetracosactide acetate,SUBSTANCE
53885,Tetracosactide hexaacetate,SUBSTANCE
53886,Tetracyclin Actavis,SUBSTANCE
53887,Tetracyclin Actavis Tab 250 mg,SUBSTANCE
53888,Tetracycline,SUBSTANCE
53889,Tetracycline hydrochloride,SUBSTANCE
53890,Tetradecyl Sulfonobenzyl,SUBSTANCE
53891,Tetradecylsulfonobenzyl,SUBSTANCE
53892,Tetrafluoretylen,SUBSTANCE
53893,Tetrafluoroethylene,SUBSTANCE
53894,Tetrakain Minims,SUBSTANCE
53895,Tetrakain Minims Øyedr 10 mg/ml,SUBSTANCE
53896,Tetrakain SA,SUBSTANCE
53897,Tetrakain SA Oppl 20 mg/ml,SUBSTANCE
53898,Tetrakain-Adrenalin SA,SUBSTANCE
53899,Tetrakain-Adrenalin SA Transdermaloppl 20 mg/ml/1 mg/ml,SUBSTANCE
53900,Tetrakain-adrenalin SA,SUBSTANCE
53901,"Tetrakain-adrenalin SA Transdermaloppl 16 mg/ml/0,2 mg/ml",SUBSTANCE
53902,Tetrakain/Adrenalin Transdermaloppl 20 mg/ml/1 mg/ml,SUBSTANCE
53903,Tetrakainhydroklorid,SUBSTANCE
53904,Tetrakis (2-Methoxy Isobutyl Isonitril) Copper (I) Tetrafluoroborate,SUBSTANCE
53905,Tetrakis-(2-metoksyisobutylisonitril) kobber(I)-tetrafluoroborat,SUBSTANCE
53906,Tetrakosaktid,SUBSTANCE
53907,Tetrakosaktidacetat,SUBSTANCE
53908,Tetrakosaktidheksaacetat,SUBSTANCE
53909,Tetralysal,SUBSTANCE
53910,Tetralysal Kaps 300 mg,SUBSTANCE
53911,Tetrasyklin Tab 250 mg,SUBSTANCE
53912,Tetrasyklin og derivater,SUBSTANCE
53913,Tetrasyklin og oleandomycin,SUBSTANCE
53914,Tetrasykliner,SUBSTANCE
53915,Tetrasyklinhydroklorid,SUBSTANCE
53916,Tetravac,SUBSTANCE
53917,"Tetravac Inj væske, susp",SUBSTANCE
53918,Tetrazepam,SUBSTANCE
53919,Tetreolje,SUBSTANCE
53920,Tetrofosmin,SUBSTANCE
53921,Tetryzolin,SUBSTANCE
53922,Tetryzoline,SUBSTANCE
53923,Tetryzoline hydrochloride,SUBSTANCE
53924,Tetryzolinhydroklorid,SUBSTANCE
53925,Teucrium marum,SUBSTANCE
53926,Teucrium scorodonia,SUBSTANCE
53927,Teucrium scorodonia (firtann),SUBSTANCE
53928,Tevagrastim,SUBSTANCE
53929,"Tevagrastim Inj/inf væske 30 mill IE/0,5 ml",SUBSTANCE
53930,"Tevagrastim Inj/inf væske 48 mill IE/0,8 ml",SUBSTANCE
53931,Teveten,SUBSTANCE
53932,Teveten Comp,SUBSTANCE
53933,"Teveten Comp Tab 600 mg/12,5 mg",SUBSTANCE
53934,Teveten Tab 600 mg,SUBSTANCE
53935,Teysuno,SUBSTANCE
53936,"Teysuno Kaps 15 mg/4,35 mg/11,8 mg",SUBSTANCE
53937,"Teysuno Kaps 20 mg/5,8 mg/15,8 mg",SUBSTANCE
53938,Tezacaftor,SUBSTANCE
53939,Tezakaftor,SUBSTANCE
53940,Thalidomide,SUBSTANCE
53941,Thalidomide Celgene,SUBSTANCE
53942,Thalidomide Celgene Kaps 50 mg,SUBSTANCE
53943,Thallous (201Tl),SUBSTANCE
53944,Thaumatin,SUBSTANCE
53945,Theanine,SUBSTANCE
53946,Theo-Dur,SUBSTANCE
53947,Theo-Dur DEPOTtab 200 mg,SUBSTANCE
53948,Theo-Dur DEPOTtab 300 mg,SUBSTANCE
53949,Theobromine,SUBSTANCE
53950,Theophylline,SUBSTANCE
53951,Theophylline monohydrate,SUBSTANCE
53952,Theophylline-ethylenediamine,SUBSTANCE
53953,Theophylline-ethylenediamine hydrate,SUBSTANCE
53954,Thermogene,SUBSTANCE
53955,Thermogene Impreg kompress,SUBSTANCE
53956,Thiamazole,SUBSTANCE
53957,Thiamine,SUBSTANCE
53958,Thiamine hydrochloride,SUBSTANCE
53959,Thiamine monophosphoric esterchloride,SUBSTANCE
53960,Thiamine nitrate,SUBSTANCE
53961,Thiamphenicol,SUBSTANCE
53962,Thiethylperazine,SUBSTANCE
53963,Thiocolchicoside,SUBSTANCE
53964,Thioctic acid,SUBSTANCE
53965,Thioguanine,SUBSTANCE
53966,Thiomersal,SUBSTANCE
53967,Thiopental,SUBSTANCE
53968,Thiopental Sodium,SUBSTANCE
53969,Thiopental sodium and sodium carbonate,SUBSTANCE
53970,Thioridazin,SUBSTANCE
53971,Thioridazin Tab 100 mg,SUBSTANCE
53972,Thioridazin Tab 25 mg,SUBSTANCE
53973,Thioridazin Tab 50 mg,SUBSTANCE
53974,Thioridazine,SUBSTANCE
53975,Thioridazine hydrochloride,SUBSTANCE
53976,Thiotepa,SUBSTANCE
53977,Thiuram mix,SUBSTANCE
53978,Thomson kudzuvine root,SUBSTANCE
53979,Threonine,SUBSTANCE
53980,Thrombin,SUBSTANCE
53981,Thrombin alfa,SUBSTANCE
53982,"Thrombin, bovine",SUBSTANCE
53983,Thrombin-JMI,SUBSTANCE
53984,Thrombin-JMI Pulv og væske til liniment 5000 IU,SUBSTANCE
53985,Thryallis glauca,SUBSTANCE
53986,Thuja occidentalis,SUBSTANCE
53987,Thuja occidentalis (tuja),SUBSTANCE
53988,Thybon,SUBSTANCE
53989,Thybon Tab 20 mikrog,SUBSTANCE
53990,Thyme,SUBSTANCE
53991,"Thyme oil, thymol type",SUBSTANCE
53992,Thymoglobuline,SUBSTANCE
53993,Thymoglobuline Pulv til kons til inf væske 25 mg,SUBSTANCE
53994,Thymol,SUBSTANCE
53995,Thyreoid glostrup,SUBSTANCE
53996,Thyreoid glostrup Tab 125 mg,SUBSTANCE
53997,Thyreoid glostrup Tab 60 mg,SUBSTANCE
53998,Thyreoidea-kjertel preparater,SUBSTANCE
53999,Thyreoideahormoner,SUBSTANCE
54000,Thyreoideapreparater,SUBSTANCE
54001,Thyrogen,SUBSTANCE
54002,"Thyrogen Pulv til inj væske 0,9 mg",SUBSTANCE
54003,Thyroid erfa,SUBSTANCE
54004,Thyroid erfa Tab 125 mg,SUBSTANCE
54005,Thyroid erfa Tab 30 mg,SUBSTANCE
54006,Thyroid erfa Tab 60 mg,SUBSTANCE
54007,Thyroid gland,SUBSTANCE
54008,Thyrotardin,SUBSTANCE
54009,"Thyrotardin Pulv og væske til inj væske 103,4 mikrog",SUBSTANCE
54010,Thyrotropin Alpha,SUBSTANCE
54011,Tiabendazol,SUBSTANCE
54012,Tiabendazole,SUBSTANCE
54013,Tiacur,SUBSTANCE
54014,Tiacur Inj væske 25 mg/ml,SUBSTANCE
54015,Tiacur Inj væske 50 mg/ml,SUBSTANCE
54016,Tiagabin,SUBSTANCE
54017,Tiagabine,SUBSTANCE
54018,Tiamazol,SUBSTANCE
54019,Tiamfenikol,SUBSTANCE
54020,"Tiamfenikol, kombinasjoner",SUBSTANCE
54021,Tiamin,SUBSTANCE
54022,Tiamin Aurora Medical,SUBSTANCE
54023,Tiamin Aurora Medical Inj væske 25 mg/ml,SUBSTANCE
54024,Tiamin Aurora Medical Inj væske 50 mg/ml,SUBSTANCE
54025,Tiamin Life Medical,SUBSTANCE
54026,Tiamin Life Medical Inj væske 25 mg/ml,SUBSTANCE
54027,Tiamin Life Medical Inj væske 50 mg/ml,SUBSTANCE
54028,Tiamin NAF,SUBSTANCE
54029,Tiamin NAF Tab 150 mg,SUBSTANCE
54030,Tiamin NAF Tab 3 mg,SUBSTANCE
54031,Tiamin SA,SUBSTANCE
54032,Tiamin SA Kaps 100 mg,SUBSTANCE
54033,Tiamin SA Mikst 50 mg/ml,SUBSTANCE
54034,Tiamin kragerø,SUBSTANCE
54035,Tiamin kragerø Tab 150 mg,SUBSTANCE
54036,Tiaminhydroklorid,SUBSTANCE
54037,Tiaminmonofosforsyreesterklorid,SUBSTANCE
54038,Tiaminmononitrat,SUBSTANCE
54039,Tiaminnitrat,SUBSTANCE
54040,Tiamulin,SUBSTANCE
54041,Tiamulin Hydrogen Fumarate,SUBSTANCE
54042,Tiamulin for veterinary use,SUBSTANCE
54043,Tiamulin hydrogen fumarate for veterinary use,SUBSTANCE
54044,Tiamulin til dyr,SUBSTANCE
54045,Tiamulinhydrogenfumarat,SUBSTANCE
54046,Tiamulinhydrogenfumarat til dyr,SUBSTANCE
54047,Tianeptin,SUBSTANCE
54048,Tianeptine,SUBSTANCE
54049,Tianeptine sodium,SUBSTANCE
54050,Tianeptinnatrium,SUBSTANCE
54051,Tianeurax,SUBSTANCE
54052,"Tianeurax Tab 12,5 mg",SUBSTANCE
54053,Tiaprid,SUBSTANCE
54054,Tiapride,SUBSTANCE
54055,Tiapride hydrochloride,SUBSTANCE
54056,Tiapridex,SUBSTANCE
54057,Tiapridex Tab 100 mg,SUBSTANCE
54058,Tiapridhydroklorid,SUBSTANCE
54059,Tiaprofenic acid,SUBSTANCE
54060,Tiaprofensyre,SUBSTANCE
54061,Tiazidderivater,SUBSTANCE
54062,Tiazider i kombinasjon med andre stoffer,SUBSTANCE
54063,Tiazider i kombinasjoner med kalium,SUBSTANCE
54064,Tiazider i kombinasjoner med psykoleptika og/eller analgetika,SUBSTANCE
54065,"Tiazider, usammensatte preparater",SUBSTANCE
54066,Tiazinam,SUBSTANCE
54067,Tiazofurin,SUBSTANCE
54068,Tiazolidindioner,SUBSTANCE
54069,Tiberal,SUBSTANCE
54070,Tiberal Tab 500 mg,SUBSTANCE
54071,Tibolon,SUBSTANCE
54072,Tibolon Aristo,SUBSTANCE
54073,"Tibolon Aristo Tab 2,5 mg",SUBSTANCE
54074,"Tibolon Tab 2,5 mg",SUBSTANCE
54075,Tibolone,SUBSTANCE
54076,Ticagrelor,SUBSTANCE
54077,Ticarcillin,SUBSTANCE
54078,Tick-Borne Encephalitis Virus (Inactivated),SUBSTANCE
54079,Ticlid,SUBSTANCE
54080,Ticlid Tab 250 mg,SUBSTANCE
54081,Ticlopidine,SUBSTANCE
54082,Ticlopidine hydrochloride,SUBSTANCE
54083,TicoVac,SUBSTANCE
54084,"TicoVac Inj væske, susp 2,4 mikrog/sprøyte",SUBSTANCE
54085,TicoVac Junior,SUBSTANCE
54086,"TicoVac Junior Inj væske, susp 1,2 mikrog/sprøyte",SUBSTANCE
54087,Tiemoniumjodid,SUBSTANCE
54088,Tienam,SUBSTANCE
54089,Tienam Pulv til inf væske 500 mg/500 mg,SUBSTANCE
54090,Tienilsyre,SUBSTANCE
54091,Tietylperazin,SUBSTANCE
54092,Tigecycline,SUBSTANCE
54093,Tigesyklin,SUBSTANCE
54094,Tigilanol tiglate,SUBSTANCE
54095,Tigilanoltiglat,SUBSTANCE
54096,Tikagrelor,SUBSTANCE
54097,Tikagrelor Tab 60 mg,SUBSTANCE
54098,Tikagrelor Tab 90 mg,SUBSTANCE
54099,Tikarcillin,SUBSTANCE
54100,Tikarcillin og beta-laktamasehemmer,SUBSTANCE
54101,Tikarcilllin,SUBSTANCE
54102,Tiklopidin,SUBSTANCE
54103,Tiklopidin Tab 250 mg,SUBSTANCE
54104,Tiklopidinhydroklorid,SUBSTANCE
54105,Tiksokortolpivalat,SUBSTANCE
54106,Tildiem Retard,SUBSTANCE
54107,Tildiem Retard DEPOTtab 90 mg,SUBSTANCE
54108,Tildipirosin,SUBSTANCE
54109,Tildrakizumab,SUBSTANCE
54110,Tiletamin,SUBSTANCE
54111,Tiletamine,SUBSTANCE
54112,Tiletamine Hydrochloride,SUBSTANCE
54113,Tiletaminhydroklorid,SUBSTANCE
54114,Tilidin,SUBSTANCE
54115,Tilidine,SUBSTANCE
54116,Tilmanocept,SUBSTANCE
54117,Tiloron,SUBSTANCE
54118,Tilorone,SUBSTANCE
54119,Tiludronic acid,SUBSTANCE
54120,Tiludronsyre,SUBSTANCE
54121,Timepidiumbromid,SUBSTANCE
54122,Timian,SUBSTANCE
54123,"Timian, vill",SUBSTANCE
54124,"Timianolje, tymoltype",SUBSTANCE
54125,Timiansirup FS80,SUBSTANCE
54126,Timolol,SUBSTANCE
54127,Timolol Depotøyedr 1 mg/ml,SUBSTANCE
54128,Timolol maleate,SUBSTANCE
54129,Timolol maleate Tab 10 mg,SUBSTANCE
54130,Timolol maleate Tab 5 mg,SUBSTANCE
54131,Timolol og tiazider,SUBSTANCE
54132,Timolol Øyedr 5 mg/ml,SUBSTANCE
54133,"Timolol, tiazider og andre diuretika",SUBSTANCE
54134,Timololmaleat,SUBSTANCE
54135,Timoptol LA gel-forming,SUBSTANCE
54136,"Timoptol LA gel-forming Øyedr 0,25 % w/v",SUBSTANCE
54137,"Timoptol LA gel-forming Øyedr 0,5 % w/v",SUBSTANCE
54138,Timosan,SUBSTANCE
54139,Timosan Depotøyedr 1 mg/ml,SUBSTANCE
54140,Tin fluoride,SUBSTANCE
54141,Tin oxyde,SUBSTANCE
54142,Tinctur of Narrow blade and pale Coneflower root,SUBSTANCE
54143,Tincture of Pimpinella root,SUBSTANCE
54144,Tindvedbærekstrakt,SUBSTANCE
54145,Tinidazol,SUBSTANCE
54146,Tinidazole,SUBSTANCE
54147,Tinktur av pimpinellerot,SUBSTANCE
54148,Tinktur av rot fra smalbladet og blek solhatt,SUBSTANCE
54149,Tinn (II) fluorid,SUBSTANCE
54150,Tinn (II) kloriddihydrat,SUBSTANCE
54151,"Tinn(II)klorid, vannfritt",SUBSTANCE
54152,Tinn(II)sulfat,SUBSTANCE
54153,Tinnfluorid,SUBSTANCE
54154,Tinnfluorid ad Tc-99m kolloidal tinn,SUBSTANCE
54155,Tinnklorid,SUBSTANCE
54156,Tinnkloriddihydrat,SUBSTANCE
54157,Tinnoksid,SUBSTANCE
54158,Tinzaparin,SUBSTANCE
54159,Tioacetazon,SUBSTANCE
54160,Tioacetazon og isoniazid,SUBSTANCE
54161,Tioconazole,SUBSTANCE
54162,Tioguanine,SUBSTANCE
54163,Tioguanine Tab 40 mg,SUBSTANCE
54164,Tioguanine farma mondo,SUBSTANCE
54165,Tioguanine farma mondo Tab 40 mg,SUBSTANCE
54166,Tiokarbamidderivater,SUBSTANCE
54167,Tiokarlid,SUBSTANCE
54168,Tioklomarol,SUBSTANCE
54169,Tiokolkikosid,SUBSTANCE
54170,Tiokonazol,SUBSTANCE
54171,Tioksantenderivater,SUBSTANCE
54172,Tioktinsyre,SUBSTANCE
54173,Tiomersal,SUBSTANCE
54174,Tiomersalløsning 10 %,SUBSTANCE
54175,Tiopental,SUBSTANCE
54176,Tiopental Life Medical,SUBSTANCE
54177,"Tiopental Life Medical Pulv til inj væske 0,5 g",SUBSTANCE
54178,Tiopental Life Medical Pulv til inj væske 1 g,SUBSTANCE
54179,Tiopentalnatrium,SUBSTANCE
54180,Tiopentalnatrium-natriumkarbonat,SUBSTANCE
54181,Tiopronin,SUBSTANCE
54182,Tiopropazat,SUBSTANCE
54183,Tioproperazin,SUBSTANCE
54184,Tioridazin,SUBSTANCE
54185,Tioridazinhydroklorid,SUBSTANCE
54186,Tiosulfat NAF,SUBSTANCE
54187,Tiosulfat NAF Inj væske 150 mg/ml,SUBSTANCE
54188,Tiotepa,SUBSTANCE
54189,Tiotiksen,SUBSTANCE
54190,Tiotropium,SUBSTANCE
54191,Tiotropium Bromide,SUBSTANCE
54192,Tiotropium Inh pulv 18 mikrog,SUBSTANCE
54193,"Tiotropium Inh væske 2,5 mikrog",SUBSTANCE
54194,Tiotropium bromide monohydrate,SUBSTANCE
54195,"Tiotropium/Olodaterol Inh væske 2,5 mikrog/2,5 mikrog",SUBSTANCE
54196,Tiotropiumbromid,SUBSTANCE
54197,Tiotropiumbromidmonohydrat,SUBSTANCE
54198,Tipiracil,SUBSTANCE
54199,Tipiracil Hydrochloride,SUBSTANCE
54200,Tipiracilhydroklorid,SUBSTANCE
54201,Tipranavir,SUBSTANCE
54202,Tiratricol,SUBSTANCE
54203,Tiratricol sodium,SUBSTANCE
54204,Tiratrikol,SUBSTANCE
54205,Tiratrikolnatrium,SUBSTANCE
54206,Tirilazad,SUBSTANCE
54207,Tirofiban,SUBSTANCE
54208,Tiropramid,SUBSTANCE
54209,Tisagenlecleucel,SUBSTANCE
54210,Tisagenlekleucel,SUBSTANCE
54211,Tisercin specific,SUBSTANCE
54212,Tisercin specific Inj/inf væske 25 mg/ml,SUBSTANCE
54213,Tisseel,SUBSTANCE
54214,Tisseel Oppl til vevslim,SUBSTANCE
54215,Titakoptis,SUBSTANCE
54216,Titandioksid,SUBSTANCE
54217,Titanium dioxide,SUBSTANCE
54218,Titralac Tab 350 mg,SUBSTANCE
54219,Tiuramblanding,SUBSTANCE
54220,Tivicay,SUBSTANCE
54221,Tivicay Tab 10 mg,SUBSTANCE
54222,Tivicay Tab 25 mg,SUBSTANCE
54223,Tivicay Tab 50 mg,SUBSTANCE
54224,Tivozanib,SUBSTANCE
54225,Tivozanib Kaps 1340 mikrog,SUBSTANCE
54226,Tivozanib Kaps 890 mikrog,SUBSTANCE
54227,Tixocortol pivalate,SUBSTANCE
54228,Tizanidin,SUBSTANCE
54229,Tizanidine,SUBSTANCE
54230,Tizanidine hydrochloride,SUBSTANCE
54231,Tizanidinhydroklorid,SUBSTANCE
54232,Tobakksrøyk,SUBSTANCE
54233,Tobi,SUBSTANCE
54234,Tobi Inh væske til nebulisator 300 mg/5 ml,SUBSTANCE
54235,Tobi Podhaler,SUBSTANCE
54236,Tobi Podhaler Inh pulv 28 mg,SUBSTANCE
54237,Tobramycin B. Braun,SUBSTANCE
54238,Tobramycin B. Braun Inf væske 1 mg/ml,SUBSTANCE
54239,Tobramycin B. Braun Inf væske 3 mg/ml,SUBSTANCE
54240,Tobramycin Depotøyedr 3 mg/ml,SUBSTANCE
54241,Tobramycin Inh pulv 28 mg,SUBSTANCE
54242,Tobramycin Inh væske til nebulisator 300 mg/5 ml,SUBSTANCE
54243,Tobramycin Sulphate,SUBSTANCE
54244,Tobramycin/Deksametason Øyedr 3 mg/ml/1 mg/ml,SUBSTANCE
54245,Tobramycinsulfat,SUBSTANCE
54246,Tobrasone,SUBSTANCE
54247,Tobrasone Øyedr 3 mg/ml/1 mg/ml,SUBSTANCE
54248,Tobrex Depot,SUBSTANCE
54249,Tobrex Depot Depotøyedr 3 mg/ml,SUBSTANCE
54250,Toceranib,SUBSTANCE
54251,Toceranib phosphate,SUBSTANCE
54252,Toceranibfosfat,SUBSTANCE
54253,Tocilizumab,SUBSTANCE
54254,Tocofersolan,SUBSTANCE
54255,Tocopherol,SUBSTANCE
54256,"Tocopherol, RRR-alfa-",SUBSTANCE
54257,"Tocopherol, all-rac-alfa-",SUBSTANCE
54258,Tocopheryl Acetate,SUBSTANCE
54259,"Tocopheryl acetate concentrate (powder form), alfa-",SUBSTANCE
54260,"Tocopheryl acetate, RRR-alfa-",SUBSTANCE
54261,"Tocopheryl acetate, all-rac-alfa-",SUBSTANCE
54262,"Tocopheryl hydrogen succinate, DL-alfa-",SUBSTANCE
54263,"Tocopheryl hydrogen succinate, RRR-alfa-",SUBSTANCE
54264,Toctino,SUBSTANCE
54265,Toctino Kaps 10 mg,SUBSTANCE
54266,Toctino Kaps 30 mg,SUBSTANCE
54267,Tofacitinib,SUBSTANCE
54268,Tofacitinib Tab 10 mg,SUBSTANCE
54269,Tofacitinib Tab 5 mg,SUBSTANCE
54270,Tofacitinib citrate,SUBSTANCE
54271,Tofacitinibsitrat,SUBSTANCE
54272,Tofisopam,SUBSTANCE
54273,Tofranil,SUBSTANCE
54274,Tofranil Tab 25 mg,SUBSTANCE
54275,Toilax Enterotab 5 mg,SUBSTANCE
54276,Toilax Kombinasjonspakning,SUBSTANCE
54277,Toilax Kombinasjonspakning Enterotab 5 mg,SUBSTANCE
54278,Toilax Kombinasjonspakning Enterotab 5 mg/Rektalvæske 10 mg/dose,SUBSTANCE
54279,Toilax Kombinasjonspakning Rektalvæske 10 mg/dose,SUBSTANCE
54280,Toilax Rektalvæske 10 mg/5 ml,SUBSTANCE
54281,Tokoferol (Vit E),SUBSTANCE
54282,Tokoferol Kaps 350 mg,SUBSTANCE
54283,"Tokoferol, RRR-alfa-",SUBSTANCE
54284,"Tokoferol, helracemisk, alfa-",SUBSTANCE
54285,Tokofersolan,SUBSTANCE
54286,Tokoferylacetat,SUBSTANCE
54287,Tokoferylacetat Alfa,SUBSTANCE
54288,Tokoferylacetat D-Alfa from Soya-bean oil,SUBSTANCE
54289,Tokoferylacetat alfa,SUBSTANCE
54290,Tokoferylacetat d-alfa fra soyabønneolje,SUBSTANCE
54291,"Tokoferylacetat, RRR-alfa-",SUBSTANCE
54292,"Tokoferylacetat, helracemisk, alfa-",SUBSTANCE
54293,"Tokoferylacetatkonsentrat, pulver, alfa-",SUBSTANCE
54294,"Tokoferylhydrogensuksinat, DL-alfa-",SUBSTANCE
54295,"Tokoferylhydrogensuksinat, RRR-alfa-",SUBSTANCE
54296,Toksoid APX I,SUBSTANCE
54297,Toksoid APX II,SUBSTANCE
54298,Toksoid APX III,SUBSTANCE
54299,Tolazamid,SUBSTANCE
54300,Tolbutamid,SUBSTANCE
54301,Tolbutamide,SUBSTANCE
54302,Tolcapone,SUBSTANCE
54303,Tolfenamic acid,SUBSTANCE
54304,Tolfenamsyre,SUBSTANCE
54305,Tolfenamsyre Tab 200 mg,SUBSTANCE
54306,Tolkapon,SUBSTANCE
54307,Tolmetin,SUBSTANCE
54308,Tolnaftat,SUBSTANCE
54309,Tolnaftate,SUBSTANCE
54310,Toloksaton,SUBSTANCE
54311,Tolonidin,SUBSTANCE
54312,Tolperison,SUBSTANCE
54313,Tolperisone,SUBSTANCE
54314,Tolrestat,SUBSTANCE
54315,Tolterodin,SUBSTANCE
54316,Tolterodin DEPOTkaps 2 mg,SUBSTANCE
54317,Tolterodin DEPOTkaps 4 mg,SUBSTANCE
54318,Tolterodine,SUBSTANCE
54319,Tolterodine tartrate,SUBSTANCE
54320,Tolterodintartrat,SUBSTANCE
54321,Toltrazuril,SUBSTANCE
54322,Tolu balsam,SUBSTANCE
54323,Tolubalsam,SUBSTANCE
54324,Tolvaptan,SUBSTANCE
54325,Tolvaptan Tab 15 mg,SUBSTANCE
54326,Tolvaptan Tab 30 mg,SUBSTANCE
54327,"Tolvaptan Tab 7,5 mg",SUBSTANCE
54328,Tolvon Tab 10 mg,SUBSTANCE
54329,Tolvon Tab 30 mg,SUBSTANCE
54330,Tomatekstrakt,SUBSTANCE
54331,"Tomato, extract",SUBSTANCE
54332,Tonkinbenzoe (harpiks),SUBSTANCE
54333,Tonkinbenzoetinktur,SUBSTANCE
54334,Tonzylamin,SUBSTANCE
54335,Topamax,SUBSTANCE
54336,Topamax Tab 100 mg,SUBSTANCE
54337,Topamax Tab 200 mg,SUBSTANCE
54338,Topicale Assorted Flavour,SUBSTANCE
54339,Topicale Assorted Flavour Gel,SUBSTANCE
54340,Topicale Raspberry,SUBSTANCE
54341,Topicale Raspberry Gel,SUBSTANCE
54342,Topimax,SUBSTANCE
54343,Topimax Kaps 15 mg,SUBSTANCE
54344,Topimax Kaps 25 mg,SUBSTANCE
54345,Topimax Tab 100 mg,SUBSTANCE
54346,Topimax Tab 200 mg,SUBSTANCE
54347,Topimax Tab 25 mg,SUBSTANCE
54348,Topimax Tab 50 mg,SUBSTANCE
54349,Topiramat,SUBSTANCE
54350,Topiramat Mikst 6 mg/ml,SUBSTANCE
54351,Topiramat SA,SUBSTANCE
54352,Topiramat SA Mikst 6 mg/ml,SUBSTANCE
54353,Topiramate,SUBSTANCE
54354,Topotecan,SUBSTANCE
54355,Topotecan Accord,SUBSTANCE
54356,Topotecan Accord Kons til inf væske 1 mg/ml,SUBSTANCE
54357,Topotecan Ebewe,SUBSTANCE
54358,Topotecan Ebewe Kons til inf væske 1 mg/ml,SUBSTANCE
54359,Topotecan Hydrochloride,SUBSTANCE
54360,Topotekan,SUBSTANCE
54361,"Topotekan Kaps 0,25 mg",SUBSTANCE
54362,Topotekan Kaps 1 mg,SUBSTANCE
54363,Topotekanhydroklorid,SUBSTANCE
54364,Toradol,SUBSTANCE
54365,Toradol Inj væske 30 mg/ml,SUBSTANCE
54366,Torasemid,SUBSTANCE
54367,Torasemide,SUBSTANCE
54368,Torasemide sodium,SUBSTANCE
54369,Torasemidnatrium,SUBSTANCE
54370,Torem,SUBSTANCE
54371,Torem Tab 10 mg,SUBSTANCE
54372,Toremifen,SUBSTANCE
54373,Toremifene,SUBSTANCE
54374,Torisel,SUBSTANCE
54375,Torisel Kons og væske til inf væske 30 mg,SUBSTANCE
54376,Tormentil,SUBSTANCE
54377,Tormentil tincture,SUBSTANCE
54378,Tostran,SUBSTANCE
54379,Tostran Gel 2 %,SUBSTANCE
54380,Tosufloksacin,SUBSTANCE
54381,Tosufloxacin,SUBSTANCE
54382,Tosylchloramide sodium,SUBSTANCE
54383,Tosylkloramidnatrium,SUBSTANCE
54384,Toujeo,SUBSTANCE
54385,Toujeo Inj væske 300 E/ml,SUBSTANCE
54386,Toviaz,SUBSTANCE
54387,Toviaz DEPOTtab 4 mg,SUBSTANCE
54388,Toviaz DEPOTtab 8 mg,SUBSTANCE
54389,Toxogonin,SUBSTANCE
54390,Toxogonin Inj væske 250 mg/ml,SUBSTANCE
54391,Toxoid APX I,SUBSTANCE
54392,Toxoid APX II,SUBSTANCE
54393,Toxoid APX III,SUBSTANCE
54394,Toxoplasma gondii tachyzoites,SUBSTANCE
54395,Trabectedin,SUBSTANCE
54396,Trabektedin,SUBSTANCE
54397,Tracafour,SUBSTANCE
54398,Tracafour Tab 500 mg,SUBSTANCE
54399,Tracleer,SUBSTANCE
54400,Tracleer Tab 125 mg,SUBSTANCE
54401,"Tracleer Tab 62,5 mg",SUBSTANCE
54402,Tractocile,SUBSTANCE
54403,"Tractocile Inj væske 6,75 mg/0,9 ml",SUBSTANCE
54404,"Tractocile Kons til inf væske 37,5 mg/5 ml",SUBSTANCE
54405,Tragacanth,SUBSTANCE
54406,Tragant,SUBSTANCE
54407,Trajenta,SUBSTANCE
54408,Trajenta Tab 5 mg,SUBSTANCE
54409,Tramadol Actavis,SUBSTANCE
54410,Tramadol Actavis Kaps 50 mg,SUBSTANCE
54411,Tramadol Dråper 100 mg/ml,SUBSTANCE
54412,Tramadol Hexal,SUBSTANCE
54413,Tramadol Hexal Kaps 50 mg,SUBSTANCE
54414,Tramadol Inj væske 100 mg/2 ml,SUBSTANCE
54415,Tramadol Kaps 50 mg,SUBSTANCE
54416,Tramadol Tab 50 mg,SUBSTANCE
54417,Tramadol Vitabalans,SUBSTANCE
54418,Tramadol Vitabalans Tab 50 mg,SUBSTANCE
54419,Tramadol hydrochloride,SUBSTANCE
54420,Tramadol og andre ikke-opioide analgetika,SUBSTANCE
54421,Tramadol og deksketoprofen,SUBSTANCE
54422,Tramadol og paracetamol,SUBSTANCE
54423,"Tramadol, kombinasjoner",SUBSTANCE
54424,Tramadol/Paracetamol Orion,SUBSTANCE
54425,"Tramadol/Paracetamol Orion Tab 37,5 mg/325 mg",SUBSTANCE
54426,"Tramadol/Paracetamol Tab 37,5 mg/325 mg",SUBSTANCE
54427,Tramadolhydroklorid,SUBSTANCE
54428,Tramagetic OD,SUBSTANCE
54429,Tramagetic OD DEPOTtab 150 mg,SUBSTANCE
54430,Tramagetic OD DEPOTtab 200 mg,SUBSTANCE
54431,Tramagetic OD DEPOTtab 300 mg,SUBSTANCE
54432,Tramagetic Retard,SUBSTANCE
54433,Tramagetic Retard DEPOTtab 100 mg,SUBSTANCE
54434,Tramagetic Retard DEPOTtab 150 mg,SUBSTANCE
54435,Tramagetic Retard DEPOTtab 200 mg,SUBSTANCE
